Unnamed: 0,log_price,area,bedrooms,bathrooms,floors,property_type,furniture,legal_status,distance_to_center
110,22.802707378751247,130,3,2,5.0,apartment,full,other,5.790663085190094
452,22.53155460828961,101,3,2,5.0,apartment,other,contract,4.145129913098254
439,22.728791695810667,102,3,3,5.0,apartment,other,has_title,9.406246689427585
29,23.53266853236915,63,5,5,5.0,villa,none,has_title,9.79391745796425
447,22.717966150307213,40,4,4,5.0,private_house,basic,has_title,2.9767037675913657
446,24.87901902731283,140,3,2,6.0,street_house,full,has_title,3.812611833732914
26,23.767788274717454,75,5,5,5.0,villa,none,has_title,9.79539547447877
7,23.800578097538907,77,5,5,5.0,apartment,none,contract,9.72429690953124
456,23.272711007950107,84,4,3,3.0,private_house,basic,has_title,5.957669561484731
108,24.173253382809744,124,4,2,4.0,villa,basic,has_title,5.790770889016239
37,23.28049314839156,42,10,2,7.0,private_house,full,has_title,4.727203137307961
157,22.59506801400185,118,3,2,5.0,apartment,other,has_title,8.431106218065151
469,21.61115709471039,51,1,1,5.0,apartment,other,has_title,11.87585156975628
118,23.942141661854613,135,6,6,5.0,apartment,other,other,14.205248969760008
114,23.02585093004045,100,3,2,5.0,apartment,full,has_title,7.78577008181009
175,23.49585455924869,150,4,2,5.0,apartment,basic,has_title,5.953102267353591
261,22.66917598614458,117,3,2,5.0,apartment,other,has_title,8.374726230189781
181,22.73816885762201,100,3,2,5.0,apartment,full,has_title,7.550176084845375
144,22.96397552632876,128,3,2,5.0,apartment,other,other,7.150345495313373
371,22.36226255181623,78,2,2,5.0,apartment,full,has_title,9.43938435133986
381,22.64018844927553,80,2,2,5.0,apartment,other,has_title,4.029819879580844
281,22.4811237546712,80,3,3,5.0,apartment,full,has_title,6.973919845412073
364,24.424567811083595,121,3,2,1.0,private_house,other,has_title,3.093412312283617
218,22.2048703780979,54,2,2,5.0,apartment,full,has_title,9.029507611464696
448,24.15725304146381,43,3,2,6.0,street_house,full,has_title,3.529422711746573
141,24.173253382809744,130,4,2,4.0,private_house,other,has_title,5.923057219725749
367,24.219773398443195,54,5,6,6.0,street_house,full,has_title,4.865447710118502
67,23.8412157432689,100,6,5,5.0,villa,none,has_title,11.109732661570543
211,21.870668290101413,32,3,4,5.0,private_house,basic,has_title,15.724856481274417
168,23.71398556872711,108,3,2,5.0,land,other,has_title,10.464760725434056
496,21.12873094572124,75,3,2,5.0,land,other,has_title,28.603489156956925
377,22.428013929366653,47,4,4,4.0,private_house,basic,has_title,12.0739917927897
360,23.397414486441907,95,1,1,1.0,shophouse,none,has_title,11.666339578787175
193,22.27082834587519,75,3,2,5.0,apartment,full,has_title,12.43838726033948
247,22.97455763565817,80,4,3,4.0,private_house,full,has_title,4.717078979589182
109,22.33270374958051,85,2,2,5.0,apartment,full,has_title,5.477724223359656
249,24.30678477543029,240,3,2,5.0,villa,none,has_title,12.890680150869484
145,23.708947774697407,148,7,6,4.0,private_house,full,has_title,4.378704316981573
92,23.753399537266045,120,3,2,5.0,villa,other,has_title,12.930370410552728
152,21.55617496031629,102,3,2,5.0,land,other,has_title,27.297666447576827
220,23.15687919243458,46,4,2,5.0,private_house,full,other,2.664995323373718
231,21.85466794876009,44,3,2,5.0,land,other,has_title,17.068720016881514
83,22.73816885762201,119,3,2,5.0,apartment,full,has_title,6.001775930690609
457,22.7448134003398,84,3,1,2.0,private_house,basic,has_title,10.718938202943267
165,23.8412157432689,50,4,4,5.0,street_house,full,has_title,6.503200126508581
163,25.69999957937388,200,3,2,9.0,street_house,other,has_title,2.577941977345208
199,23.942141661854613,100,3,2,5.0,apartment,other,has_title,6.748629527086272
229,21.76354254895492,251,3,2,5.0,land,other,has_title,31.34649891408728
74,24.866400563353817,133,5,5,3.0,street_house,full,has_title,2.1012984880585086
417,23.41789301778405,68,6,7,5.0,private_house,full,has_title,5.502947132109314
406,22.610335486130307,128,4,3,5.0,apartment,basic,has_title,10.11866714440659
375,23.437960580833515,96,3,2,5.0,street_house,basic,contract,16.560743712792288
119,22.3719244627261,84,2,2,5.0,apartment,full,has_title,9.126673410367708
320,24.551907233457246,280,5,6,4.0,villa,none,contract,12.676179491829664
388,22.920490414393743,45,3,2,5.0,private_house,other,has_title,7.673425644653972
354,23.28821519448487,90,3,2,5.0,villa,other,has_title,14.60200195801617
355,22.66917598614458,34,3,2,5.0,private_house,other,has_title,2.556454631543164
415,22.839521351869447,86,3,2,5.0,apartment,other,has_title,7.093437695038242
357,22.109560198316306,52,2,2,5.0,apartment,full,has_title,9.096395446254254
480,23.369440634401457,45,4,3,4.0,private_house,basic,has_title,8.743237172334736
467,23.83678114620123,75,4,3,5.0,villa,basic,has_title,6.91914253701979
384,22.428013929366653,105,3,2,5.0,apartment,full,has_title,8.389351446685067
275,22.096981416112605,36,3,3,3.0,private_house,full,has_title,15.492972009089709
36,22.05826690394191,62,2,2,5.0,apartment,full,contract,10.100170425097373
196,23.431316038115288,186,4,3,5.0,apartment,other,has_title,5.841644792666729
139,22.35250637687277,65,2,2,5.0,apartment,full,contract,9.048091694934206
